,ID,World,Date,Important Trigger,Death,Description,Characters
,176,Jonas,20-06-2019,FALSE,FALSE,Old Claudia interrupts and tells Teen Jonas they all must make sacrifices.,"Claudia Tiedemann (J), Jonas Kahnwald / Adam (J), Mikkel Nielsen / Michael Kahnwald (J)"
,177,Jonas,20-06-2019,FALSE,FALSE,Old Claudia brings Jonas to the caves.,"Claudia Tiedemann (J), Jonas Kahnwald / Adam (J)"
,178,Jonas,21-06-2019,FALSE,FALSE,Adult Mikkel/Michael writes the suicide letter.,Mikkel Nielsen / Michael Kahnwald (J)
,179,Jonas,21-06-2019,TRUE,TRUE,Michael kahnwald hangs himself.,Mikkel Nielsen / Michael Kahnwald (J)
,180,Jonas,02-09-2019,FALSE,FALSE,Jonas spends two months in a psychiatric facility while everyone else thinks he's in France.,Jonas Kahnwald / Adam (J)
,181,Jonas,04-11-2019,FALSE,FALSE,Jonas returns to school and finds out that Martha and Bartosz are dating.,"Jonas Kahnwald / Adam (J), Martha Nielsen (J), Bartosz Tiedemann (J)"
,182,Jonas,04-11-2019,FALSE,FALSE,"Jonas, Martha, Bartosz, Magnus, Mikkel and Franziska go to the caves to take erik's drug stash.","Jonas Kahnwald / Adam (J), Martha Nielsen (J), Magnus Nielsen (J), Bartosz Tiedemann (J), Franziska Doppler (J), Mikkel Nielsen / Michael Kahnwald (J)"
,183,Jonas,04-11-2019,TRUE,FALSE,Mikkel nielsen goes missing.,Mikkel Nielsen / Michael Kahnwald (J)
,184,Jonas,05-11-2019,FALSE,FALSE,Jonas finds a map of the caves in his father's room.,Jonas Kahnwald / Adam (J)
,185,Jonas,07-11-2019,FALSE,FALSE,Jonas recieves a package from his future self containing a very aged version of his father's suicide note.,Jonas Kahnwald / Adam (J)
,186,Jonas,07-11-2019,FALSE,FALSE,Jonas reads his father's letter.,Jonas Kahnwald / Adam (J)
,187,Jonas,08-11-2019,FALSE,FALSE,Jonas finds the portal in the cave and travels to 1986.,Jonas Kahnwald / Adam (J)
,188,Jonas,22-10-2019,FALSE,FALSE,Jürgen and Erik Obendorf traffic drugs in high school. They hide the stash in the caves.,"Erik Obendorf (J), Jürgen Obendorf"
,189,Jonas,22-10-2019,FALSE,FALSE,Erik obendorf goes missing.,Erik Obendorf (J)
,190,Jonas,04-11-2019,FALSE,FALSE,"Mads Nielsen's body appears in the bunker, being witnessed by Peter and Tronte.","Mads Nielsen (J), Peter Doppler (J), Tronte Nielsen (J)"
,191,Jonas,04-11-2019,FALSE,FALSE,Old Claudia tells them to dispose of the body and gives them the Triquetra notebook.,"Claudia Tiedemann (J), Mads Nielsen (J), Peter Doppler (J), Tronte Nielsen (J)"
,192,Jonas,05-11-2019,FALSE,FALSE,Mads is found dead in the forest.,"Mads Nielsen (J), Ulrich Nielsen (J), Charlotte Doppler (J)"
,193,Jonas,05-11-2019,FALSE,FALSE,Ulrich finds a locked door in the caves.,Ulrich Nielsen (J)
,194,Jonas,05-11-2019,FALSE,FALSE,Ulrich tries to investigate the nuclear plant but aleksander doesn't let him.,"Ulrich Nielsen (J), Aleksander Tiedemann / Boris Niewald (J)"
,195,Jonas,05-11-2019,FALSE,FALSE,Ulrich starts investigating Jürgen Obendorf due to his truck's tracks.,Ulrich Nielsen (J)
,196,Jonas,05-11-2019,FALSE,FALSE,Ulrich discovers Jürgen Obendorf and Erik Obendorf's drug stash.,Ulrich Nielsen (J)
,197,Jonas,04-11-2019,FALSE,FALSE,The police start investigating the caves.,
,198,Jonas,05-11-2019,FALSE,FALSE,Aleksander has the radioactive barrels moved from the cave into a truck.,Aleksander Tiedemann / Boris Niewald (J)
,199,Jonas,06-11-2019,FALSE,FALSE,Charlotte steals the records of the road camera and finds out Peter's car.,Charlotte Doppler (J)
,200,Jonas,06-11-2019,FALSE,FALSE,charlotte discovers that the red sand is from peter's cabin. she discovers the bunker,Charlotte Doppler (J)
,201,Jonas,06-11-2019,FALSE,FALSE,No one goes looking for Elisabeth at school and walks home. She meets Noah and gives him a Charlotte watch.,"Elisabeth Doppler (J), Noah / Hanno Tauber (J)"
,202,Jonas,07-11-2019,FALSE,FALSE,Charlotte talks with Ulrich about the 33 year cycle.,"Charlotte Doppler (J), Ulrich Nielsen (J)"
,203,Jonas,08-11-2019,FALSE,FALSE,Ulrich investigates the Mads' case.,Ulrich Nielsen (J)
,204,Jonas,08-11-2019,FALSE,FALSE,Ulrich asks Jana about Mads. She says that he had a wound on his chin. She also tells him that Regina was the last person who saw Mads.,"Ulrich Nielsen (J), Jana Nielsen (J)"
,205,Jonas,08-11-2019,FALSE,FALSE,Ulrich asks Regina about Mads and she blames him for dating with Khatarina. She also says that she didn't accuses him for raping Khatarina.,"Ulrich Nielsen (J), Regina Tiedemann (J)"
,206,Jonas,08-11-2019,FALSE,FALSE,Ulrich discovers that Hannah accusesed him for raping Khatarina.,Ulrich Nielsen (J)
,207,Jonas,08-11-2019,FALSE,FALSE,Ulrich threatens Hannah.,"Ulrich Nielsen (J), Hannah Kahnwald (J)"
,208,Jonas,08-11-2019,FALSE,FALSE,Peter and Tronte wait in the bunker,"Peter Doppler (J), Tronte Nielsen (J)"
,209,Jonas,08-11-2019,FALSE,FALSE,Ulrich finds out that the dead boy found is Mads,Ulrich Nielsen (J)
,210,Jonas,09-11-2019,FALSE,FALSE,Ulrich reads Egon's notebook and suspects Helge.,Ulrich Nielsen (J)
,211,Jonas,09-11-2019,FALSE,FALSE,Ulrich visits Helge and tries to extract information from him.,"Ulrich Nielsen (J), Helge Doppler (J)"
,212,Jonas,09-11-2019,FALSE,FALSE,Helge runs away to try to stop his past self. He travels to 1986.,Helge Doppler (J)
,213,Jonas,09-11-2019,FALSE,FALSE,Ulrich follows Helge into the caves and travels to 1953.,"Ulrich Nielsen (J), Helge Doppler (J)"
,214,Jonas,09-11-2019,FALSE,FALSE,Jonas returns home but keeps his discovery a secret.,Jonas Kahnwald / Adam (J)
,215,Jonas,09-11-2019,FALSE,FALSE,Jonas burns his father's suicide note.,Jonas Kahnwald / Adam (J)
,216,Jonas,12-11-2019,FALSE,FALSE,Teen Jonas confronts Old Ines about Michael/Mikkel's identity. She gives him the letter.,"Jonas Kahnwald / Adam (J), Ines Kahnwald (J)"
,217,Jonas,12-11-2019,FALSE,FALSE,Jonas travels to 1986 to bring back Mikkel.,Jonas Kahnwald / Adam (J)
,218,Jonas,05-11-2019,FALSE,FALSE,The stranger comes out of the caves.,Jonas Kahnwald / Adam (J)
,219,Jonas,05-11-2019,FALSE,FALSE,The Stranger checks into the Waldhotel.,Jonas Kahnwald / Adam (J)
,220,Jonas,09-11-2019,FALSE,FALSE,The police finally get the permits to register the power plant.,
,221,Jonas,09-11-2019,FALSE,FALSE,Charlotte discovers the hide cave but they have already move the barrels.,Charlotte Doppler (J)
,222,Jonas,09-11-2019,FALSE,FALSE,Charlotte discovers the locked door.,Charlotte Doppler (J)
,223,Jonas,04-11-2019,FALSE,FALSE,Bartosz takes Erik's drugs bag.,Bartosz Tiedemann (J)
,224,Jonas,07-11-2019,FALSE,FALSE,Noah calls Bartosz on the cellphone inside Erik's drugs bag.,"Noah / Hanno Tauber (J), Bartosz Tiedemann (J)"
,225,Jonas,07-11-2019,FALSE,FALSE,Bartosz meets adult Noah.,"Bartosz Tiedemann (J), Noah / Hanno Tauber (J)"
,226,Jonas,11-11-2019,FALSE,FALSE,Bartosz agrees to work with adult Noah.,"Bartosz Tiedemann (J), Noah / Hanno Tauber (J)"
,227,Jonas,12-11-2019,FALSE,FALSE,Adult Noah gives Bartosz the Triquetra notebook and warns him to never trust Claudia.,"Bartosz Tiedemann (J), Noah / Hanno Tauber (J)"
,228,Jonas,04-11-2019,FALSE,FALSE,Old Ines reads Adult Michael/Mikkel's letter at 22:13.,Ines Kahnwald (J)
,229,Jonas,11-11-2019,FALSE,FALSE,Adult Regina sees the files in adult Jonas' hotel room.,Regina Tiedemann (J)
,230,Jonas,21-06-2020,FALSE,FALSE,Adult Hannah is going to kill herself but Adult Jonas shows up,"Hannah Kahnwald (J), Jonas Kahnwald / Adam (J)"
,231,Jonas,22-06-2020,FALSE,FALSE,Adult Jonas shows adult Hannah the time machine and takes adult Hannah to 1987.,"Hannah Kahnwald (J), Jonas Kahnwald / Adam (J)"
,232,Jonas,22-06-1987,FALSE,FALSE,Adult Hannah and adult Jonas arrive in 1987 and see adult Ines and Mikkel/Michael.,"Hannah Kahnwald (J), Jonas Kahnwald / Adam (J), Ines Kahnwald (J), Mikkel Nielsen / Michael Kahnwald (J)"
,233,Jonas,21-06-2020,FALSE,FALSE,Martha finds Adult Ulrich's police files in Child Mikkel/Michael's room and shows Teen Magnus.,"Martha Nielsen (J), Magnus Nielsen (J)"
,234,Jonas,21-06-2020,FALSE,FALSE,Adult Noah gives Bartosz his time machine.,"Noah / Hanno Tauber (J), Bartosz Tiedemann (J)"
,235,Jonas,21-06-2020,FALSE,FALSE,Clausen takes over the missing persons case after requesting it.,W. Clausen (J)
,236,Jonas,21-06-2020,FALSE,FALSE,"In light of the nuclear phase-out, the winden power plant is scheduled for decommission.",
,237,Jonas,21-06-2020,FALSE,FALSE,Wöller brings the radioactive waste back to the power plant.,Torben Wöller (J)
,238,Jonas,21-06-2020,TRUE,FALSE,Aleksander has the waste covered in concrete.,Aleksander Tiedemann / Boris Niewald (J)
,239,Jonas,22-06-2020,FALSE,FALSE,"Clausen and adult Charlotte interview adult Regina, who tells them about adult Jonas and shows them his files from the hotel room.","W. Clausen (J), Charlotte Doppler (J), Regina Tiedemann (J)"
,240,Jonas,22-06-2020,FALSE,FALSE,Charlotte and Peter move all investigation's files to the bunker.,"Charlotte Doppler (J), Peter Doppler (J)"
,241,Jonas,24-06-2020,FALSE,FALSE,"Magnus, Martha, Franziska, and Child Elisabeth go to the caves where they run into Bartosz.","Magnus Nielsen (J), Martha Nielsen (J), Franziska Doppler (J), Elisabeth Doppler (J), Bartosz Tiedemann (J)"
,242,Jonas,24-06-2020,FALSE,FALSE,They leave Bartosz tied up and take the time machine from him.,"Magnus Nielsen (J), Martha Nielsen (J), Franziska Doppler (J), Elisabeth Doppler (J), Bartosz Tiedemann (J)"
,243,Jonas,24-06-2020,FALSE,FALSE,Adult Jonas finds Adult Hannah's gun.,"Jonas Kahnwald / Adam (J), Hannah Kahnwald (J)"
,244,Jonas,24-06-2020,FALSE,FALSE,Adult Charlotte takes adult Hannah and adult Jonas to the bunker and shows them all the files she's collected.,"Charlotte Doppler (J), Hannah Kahnwald (J), Jonas Kahnwald / Adam (J)"
,245,Jonas,24-06-2020,FALSE,FALSE,Charlotte brings Katharina to the bunker and they explain everything to her but she doesn't believe them.,"Charlotte Doppler (J), Katharina Nielsen (J), Hannah Kahnwald (J), Jonas Kahnwald / Adam (J)"
,246,Jonas,24-06-2020,FALSE,FALSE,Katharina goes to the school records to look up Michael and finds the picture of child Mikkel in a class photo.,Katharina Nielsen (J)
,247,Jonas,24-06-2020,FALSE,FALSE,"Clausen and Wöller interview adult Aleksander, with most questions being about his past.","W. Clausen (J), Torben Wöller (J), Aleksander Tiedemann / Boris Niewald (J)"
,248,Jonas,25-06-2020,FALSE,FALSE,"They go into the caves to get answers from Bartosz, who tells them about the time machine. Bartosz takes them to 1987.","Magnus Nielsen (J), Martha Nielsen (J), Franziska Doppler (J), Elisabeth Doppler (J), Bartosz Tiedemann (J)"
,249,Jonas,25-06-2020,FALSE,FALSE,Adult Jonas goes to Martha's bedroom and leaves the St. Christopher necklace for her.,Jonas Kahnwald / Adam (J)
,250,Jonas,25-06-2020,FALSE,FALSE,Martha finds the necklace Adult Jonas left for her.,Martha Nielsen (J)
,251,Jonas,25-06-2020,FALSE,FALSE,Adult Jonas confronts Adult Hannah about not loving Michael/Mikkel and her affair with adult Ulrich.,"Jonas Kahnwald / Adam (J), Hannah Kahnwald (J)"
,252,Jonas,25-06-2020,FALSE,FALSE,Adult Noah tells Charlotte that he's her father and that he plans on killing Adam so that everyone will survive.,"Noah / Hanno Tauber (J), Charlotte Doppler (J)"
,253,Jonas,26-06-2020,FALSE,FALSE,Charlotte tells adult Peter about adult Noah and the apocalypse.,"Charlotte Doppler (J), Peter Doppler (J)"
,254,Jonas,26-06-2020,FALSE,FALSE,"Martha meets adult Jonas, who reveals his true identity to her.","Martha Nielsen (J), Jonas Kahnwald / Adam (J)"
,255,Jonas,26-06-2020,FALSE,FALSE,Adult Hannah steals adult Jonas' time machine and leaves for 1954.,Hannah Kahnwald (J)
,256,Jonas,26-06-2020,FALSE,FALSE,Teen Magnus brings the time machine to Martha and Adult Katharina.,"Magnus Nielsen (J), Martha Nielsen (J), Katharina Nielsen (J)"
,257,Jonas,26-06-2020,FALSE,FALSE,Clausen arrests adult Aleksander for identity theft.,"W. Clausen (J), Aleksander Tiedemann / Boris Niewald (J)"
,258,Jonas,26-06-2020,FALSE,FALSE,"Clausen reveals that his brother, Aleksander Köhler, disappeared in 1986 and that's whose identity Aleksander stole.","W. Clausen (J), Aleksander Tiedemann / Boris Niewald (J)"
,259,Jonas,26-06-2020,FALSE,FALSE,Clausen says he knew to go to Winden to look for him because he had received a letter from an anonymous source.,"W. Clausen (J), Aleksander Tiedemann / Boris Niewald (J)"
,260,Jonas,27-06-2020,FALSE,FALSE,Clausen gets a search warrant for the power plant and has them dig up the radioactive waste.,W. Clausen (J)
,261,Jonas,27-06-2020,FALSE,FALSE,The God Particle is created and stabilized.,
,262,Jonas,27-06-2020,FALSE,FALSE,A wormhole between 2020 and 2053 opens up and allows Charlotte to make contact with adult Elisabeth.,"Charlotte Doppler (J), Elisabeth Doppler (J)"
,263,Jonas,27-06-2020,FALSE,FALSE,Katharina finds the maps of the cave and flashlight in teen Jonas' room.,Katharina Nielsen (J)
,264,Jonas,27-06-2020,FALSE,FALSE,Adult Katharina heads to the caves.,Katharina Nielsen (J)
,265,Jonas,27-06-2020,FALSE,FALSE,Adult Katharina heads to the caves and opens the passage.,Katharina Nielsen (J)
,266,Jonas,27-06-2020,FALSE,FALSE,Katharina leaves the time machine for Jonas.,Katharina Nielsen (J)
,267,Jonas,27-06-2020,FALSE,FALSE,"Adult Jonas finds Bartosz, Magnus, and Franziska and uses the time machine to bring them to safety.","Jonas Kahnwald / Adam (J), Magnus Nielsen (J), Bartosz Tiedemann (J), Franziska Doppler (J)"
,268,Jonas,27-06-2020,FALSE,FALSE,Adult Jonas pulls Alseksander's gun on Martha and forces her into the bunker.,"Jonas Kahnwald / Adam (J), Martha Nielsen (J)"
,269,Jonas,27-06-2020,FALSE,FALSE,Adult jonas tells martha teen Jonas will return.,"Jonas Kahnwald / Adam (J), Martha Nielsen (J)"
,270,Jonas,27-06-2020,FALSE,FALSE,Adult Peter takes child Elisabeth into the bunker. When they open it Martha escapes.,"Peter Doppler (J), Elisabeth Doppler (J), Martha Nielsen (J)"
,271,Jonas,27-06-2020,FALSE,FALSE,Teen Noah arrives from 1921.,Noah / Hanno Tauber (J)
,272,Jonas,27-06-2020,FALSE,FALSE,"Teen Noah gives adult Jonas a letter from Martha saying he must save Bartosz, Magnus, Franziska, Agnes, and Noah so that Martha will live.","Noah / Hanno Tauber (J), Jonas Kahnwald / Adam (J)"
,273,Jonas,27-06-2020,FALSE,FALSE,"Teen Noah arrives at the bunker and joins adult Claudia, Regina, Peter, and young Elisabeth.","Noah / Hanno Tauber (J), Claudia Tiedemann (J), Regina Tiedemann (J), Peter Doppler (J), Elisabeth Doppler (J)"
,274,Jonas,27-06-2020,FALSE,FALSE,Teen Jonas and adult Claudia arrive from 1987.,"Jonas Kahnwald / Adam (J), Claudia Tiedemann (J)"
,275,Jonas,27-06-2020,FALSE,FALSE,Teen Jonas instructs adult Claudia to bring the time machine to the bunker.,"Jonas Kahnwald / Adam (J), Claudia Tiedemann (J)"
,276,Jonas,27-06-2020,FALSE,FALSE,Adult claudia brings adult regina to the bunker.,"Claudia Tiedemann (J), Regina Tiedemann (J)"
,277,Jonas,27-06-2020,FALSE,FALSE,Martha leaves the bunker and returns to the Kahnwald house where she finds teen Jonas.,"Martha Nielsen (J), Jonas Kahnwald / Adam (J)"
,278,Jonas,27-06-2020,FALSE,FALSE,Adam arrives from 1921.,Jonas Kahnwald / Adam (J)
,279,Jonas,27-06-2020,TRUE,TRUE,Adam kills Martha to ensure that Teen Jonas will eventually turn into Adam.,"Jonas Kahnwald / Adam (J), Martha Nielsen (J)"
,280,Jonas,27-06-2020,FALSE,FALSE,Bartosz arrives to Jonas' world.,Bartosz Tiedemann (M)
,281,Jonas,27-06-2020,TRUE,FALSE,Martha arrives to Jonas' world.,Martha Nielsen / Eve (M)
,282,Jonas,27-06-2020,TRUE,FALSE,At the last possible moment Jonas saves himself by jumping down the basement stairs in his house. Jonas will become Adam and Martha will become Eve.,Jonas Kahnwald / Adam (J)
,283,Jonas,27-06-2020,TRUE,FALSE,Martha arrives at the Kahnwald house and uses a new device to bring Jonas to safety to her universe. Adam will kill this Martha and Eve will kill this Jonas.,"Martha Nielsen / Eve (M), Jonas Kahnwald / Adam (J)"
,284,Jonas,27-06-2020,FALSE,FALSE,Martha and Bartosz escape from the apocalypse.,"Martha Nielsen / Eve (M), Bartosz Tiedemann (M)"
,285,Jonas,21-09-1888,FALSE,FALSE,Martha arrives to Tannhaus factory in 1888.,Martha Nielsen / Eve (M)
,286,Jonas,21-09-1888,FALSE,FALSE,Adult Jonas is testing a machine. Martha tells him that they must find the origin of their worlds.,"Martha Nielsen / Eve (M), Jonas Kahnwald / Adam (J)"
,287,Jonas,22-09-1888,FALSE,FALSE,"Martha meets adult Jonas, Bartosz, Magnus, and Frankiska. She tells them that she is going to fix everything so none of them will die.","Martha Nielsen / Eve (M), Jonas Kahnwald / Adam (J), Bartosz Tiedemann (J), Magnus Nielsen (J), Franziska Doppler (J)"
,288,Jonas,22-09-1888,FALSE,FALSE,Martha says that teen Jonas told her where to find them but adult Jonas doesn't believe her as he has never travelled to her world.,"Martha Nielsen / Eve (M), Jonas Kahnwald / Adam (J)"
,289,Jonas,22-09-1888,FALSE,FALSE,"Gustav Tannhaus, who seems to be the owner of the factory, introduces himself to Martha.","Martha Nielsen / Eve (M), Gustav Tannhaus (J)"
,290,Jonas,22-09-1888,FALSE,FALSE,Teen Bartosz explains to Martha that they have run out of fuel and the machine stops working.,"Martha Nielsen / Eve (M), Bartosz Tiedemann (J)"
,291,Jonas,22-09-1888,FALSE,FALSE,Teen Bartosz shows to Martha the secret society of sic mundus. Old Tannhaus is the only one of them left.,"Martha Nielsen / Eve (M), Bartosz Tiedemann (J)"
,292,Jonas,22-09-1888,FALSE,FALSE,Adult Jonas is trying to rebuild the time machine he saw in 1921.,"Jonas Kahnwald / Adam (J), Martha Nielsen / Eve (M)"
,293,Jonas,22-09-1888,FALSE,FALSE,Martha reveals to teen Bartosz that Jonas is Adam.,"Martha Nielsen / Eve (M), Bartosz Tiedemann (J)"
,294,Jonas,23-09-1888,FALSE,FALSE,Teen Bartosz confronts adult Jonas and he reveals his true identity.,"Bartosz Tiedemann (J), Jonas Kahnwald / Adam (J)"
,295,Jonas,23-09-1888,FALSE,FALSE,Adult Jonas explains to Martha that old Tannhaus's father formed sic mundus because he wanted to repair his past mistakes to save his wife. But all he did was condemn the world.,"Martha Nielsen / Eve (M), Jonas Kahnwald / Adam (J)"
,296,Jonas,23-09-1888,FALSE,FALSE,Martha tries to gain Jonas' trust by giving him her last capsule with black matter.,"Jonas Kahnwald / Adam (J), Martha Nielsen / Eve (M)"
,297,Jonas,23-09-1888,FALSE,FALSE,Adult Jonas' uses the black matter in the Tannhaus machine but something fails.,Jonas Kahnwald / Adam (J)
,298,Jonas,23-09-1888,FALSE,FALSE,Martha escapes from Tannhaus' factory using another black matter ball.,Martha Nielsen / Eve (M)
,299,Jonas,22-09-1888,FALSE,FALSE,"Gustav Tannhaus reminds Jonas that they are going to create a perfect world, a paradise, where every pain will be destroyed before it even exists.","Gustav Tannhaus (J), Jonas Kahnwald / Adam (J)"
,300,Jonas,22-09-1888,FALSE,FALSE,"""Sic Mundus creatus est""","Gustav Tannhaus (J), Jonas Kahnwald / Adam (J)"
,301,Jonas,23-09-1888,FALSE,FALSE,"Gustav Tannahus owns Ariadne's book (her mother's favourite book) and a pocket watch that has written ""For Charlotte"".",Gustav Tannhaus (J)
,302,Jonas,23-09-1888,FALSE,TRUE,"Adult Unknown man kills Gustav Tannhaus, because he wants to reveal the existence of time travelers.","Gustav Tannhaus (J), Unknown"
,303,Jonas,26-09-1888,FALSE,FALSE,Adult Jonas reads  Martha's letter ...,Jonas Kahnwald / Adam (J)
,304,Jonas,26-09-1888,FALSE,FALSE,... and burns it.,Jonas Kahnwald / Adam (J)
,305,Jonas,26-09-1888,FALSE,FALSE,Female stranger leaves Martha's letter again and Charlotte's pocket watch.,Martha Nielsen / Eve (M)
,306,Jonas,26-09-1888,FALSE,FALSE,Adult Jonas tries to make the machine work.,Jonas Kahnwald / Adam (J)
,307,Jonas,01-01-1890,FALSE,FALSE,Adult Jonas gets injured trying to make it work the time machine.,Jonas Kahnwald / Adam (J)
,308,Jonas,01-01-1890,FALSE,FALSE,Adult jonas explains to teen Bartosz that he is trying to fix the time machine in order to find and destroy the origin.,"Jonas Kahnwald / Adam (J), Bartosz Tiedemann (J)"
,309,Jonas,01-01-1890,FALSE,FALSE,Teen Silja meets teen Bartosz.,"Silja Tiedemann (J), Bartosz Tiedemann (J)"
,310,Jonas,01-01-1890,FALSE,FALSE,Adult Jonas is no longer worried about preventing the apocalypse. He wants to destroy the knot and wipe out the world. Jonas has become Adam.,Jonas Kahnwald / Adam (J)
,311,Jonas,01-01-1890,FALSE,FALSE,Silja arrives to 1890.,Silja Tiedemann (J)
,312,Jonas,01-01-1904,FALSE,FALSE,Silja has a son with Bartosz and calls him Hanno.,"Silja Tiedemann (J), Bartosz Tiedemann (J)"
,313,Jonas,01-01-1910,FALSE,FALSE,Silja dies giving birth to Agnes.,"Silja Tiedemann (J), Bartosz Tiedemann (J)"
,314,Jonas,01-01-1911,FALSE,FALSE,Adult Hannah arrives to Tannahus' factory in 1911 with her daughter Silja. Eve told her where she could find her son.,"Hannah Kahnwald (J), Silja Tiedemann (J)"
,315,Jonas,01-01-1911,FALSE,FALSE,Adult Hannah meets old Jonas.,"Hannah Kahnwald (J), Jonas Kahnwald / Adam (J)"
,316,Jonas,01-01-1911,FALSE,TRUE,"Old jonas kills Hannah because she is not in the ""correct position"" ...","Hannah Kahnwald (J), Jonas Kahnwald / Adam (J)"
,317,Jonas,01-01-1911,FALSE,FALSE,... and sends Silja into the future.,"Jonas Kahnwald / Adam (J), Silja Tiedemann (J)"
,318,Jonas,21-06-1920,FALSE,FALSE,Adult Noah arrives to 1920 and meets teen Hanno.,Noah / Hanno Tauber (J)
,319,Jonas,21-06-1920,FALSE,FALSE,Adult Noah meets Adam. He claims that Claudia was solely responsible for Charlotte's kidnapping.,"Noah / Hanno Tauber (J), Jonas Kahnwald / Adam (J)"
,320,Jonas,21-06-1920,TRUE,FALSE,Noah shows Adam the leather notebook and Adam tells him that he can find out what happened to Charlotte in the missing pages. He also gives Noah a bible and tells him that Helge will assist him in his tasks.,"Noah / Hanno Tauber (J), Jonas Kahnwald / Adam (J)"
,321,Jonas,21-06-1954,FALSE,FALSE,Adult Noah arrives in Winden and becomes the new priest under the name Hanno Tauber.,Noah / Hanno Tauber (J)
,322,Jonas,08-01-1921,FALSE,FALSE,The photo of adult Noah and the sic mundus travelers is taken.,
,323,Jonas,21-06-1921,TRUE,FALSE,The passage in the caves is being built by teen Noah and adult Bartosz.,"Noah / Hanno Tauber (J), Bartosz Tiedemann (J)"
,324,Jonas,21-06-1921,FALSE,TRUE,Teen Noah kills adult Bartosz on Adam's orders because he has lost faith.,"Noah / Hanno Tauber (J), Bartosz Tiedemann (J)"
,325,Jonas,21-06-1921,FALSE,FALSE,Adult Noah counsels teen Noah to keep faith.,Noah / Hanno Tauber (J)
,326,Jonas,21-06-1921,FALSE,FALSE,Adam tells adult Noah to find the missing pages in the Triquetra notebook.,"Noah / Hanno Tauber (J), Jonas Kahnwald / Adam (J)"
,327,Jonas,23-06-1921,FALSE,FALSE,Noah lies to Adam about old Claudia having the missing Triquetra pages on her.,"Noah / Hanno Tauber (J), Jonas Kahnwald / Adam (J)"
,328,Jonas,25-06-1921,FALSE,FALSE,Noah travels to 2020 to tell the truth to his daughter.,Noah / Hanno Tauber (J)
,329,Jonas,25-06-1921,FALSE,FALSE,Adam is shown to have the St. Christopher necklace.,Jonas Kahnwald / Adam (J)
,330,Jonas,23-06-1921,FALSE,FALSE,Jonas arrives from 2053.,Jonas Kahnwald / Adam (J)
,331,Jonas,23-06-1921,FALSE,FALSE,Jonas sees a funeral.,Jonas Kahnwald / Adam (J)
,332,Jonas,23-06-1921,FALSE,FALSE,"Jonas is taken to Erna's house to stay with her, young Agnes and teen Noah.","Jonas Kahnwald / Adam (J), Agnes Nielsen (J), Noah / Hanno Tauber (J), Erna Jung"
,333,Jonas,24-06-1921,FALSE,FALSE,Jonas meets young Noah.,"Jonas Kahnwald / Adam (J), Noah / Hanno Tauber (J)"
,334,Jonas,24-06-1921,FALSE,FALSE,Jonas tries to go through the tunnel but he finds out that it's not finished yet.,Jonas Kahnwald / Adam (J)
,335,Jonas,24-06-1921,FALSE,FALSE,"Teen Noah and adult Noah take Jonas to meet old Adam, who reveals his true identity.","Jonas Kahnwald / Adam (J), Noah / Hanno Tauber (J)"
,336,Jonas,25-06-1921,FALSE,FALSE,Teen Jonas asks old Jonas/Adam for answers.,Jonas Kahnwald / Adam (J)
,337,Jonas,25-06-1921,FALSE,FALSE,Adam shows teen Jonas the god particle they created and explains that it's the key to teen Jonas breaking the 33-year cycle.,Jonas Kahnwald / Adam (J)
,338,Jonas,25-06-1921,FALSE,FALSE,Jonas leaves for 2019 through the god particle to stop adult Mikkel/Michael from killing himself.,"Jonas Kahnwald / Adam (J), Mikkel Nielsen / Michael Kahnwald (J)"
,339,Jonas,27-06-1921,FALSE,FALSE,Adult Noah counsels teen Noah about his role and ask him to give adult Jonas Martha's letter.,Noah / Hanno Tauber (J)
,340,Jonas,27-06-1921,FALSE,FALSE,Teen Noah leaves for 2020.,Noah / Hanno Tauber (J)
,341,Jonas,27-06-1921,FALSE,FALSE,Adult Noah confronts Adam with the missing Triquetra pages and says he's been used.,"Jonas Kahnwald / Adam (J), Noah / Hanno Tauber (J)"
,342,Jonas,27-06-1921,FALSE,TRUE,Adult Noah tries to kill Adam but Adult Agnes arrives and kills Adult Noah.,"Noah / Hanno Tauber (J), Agnes Nielsen (J), Jonas Kahnwald / Adam (J)"
,343,Jonas,27-06-1921,FALSE,FALSE,"Adult Magnus and Adult Franziska activate the God Particle, enabling Adam to leave for 2020.","Magnus Nielsen (J), Franziska Doppler (J), Jonas Kahnwald / Adam (J)"
,344,Jonas,27-06-1921,TRUE,FALSE,Adult Magnus and adult Franziska face the god particle and await the end of the cycle.,"Magnus Nielsen (J), Franziska Doppler (J)"
,345,Jonas,27-06-2020,TRUE,FALSE,The apocalypse erupts in Winden.,
,346,Jonas,22-09-2020,FALSE,FALSE,"Adult Peter and teen Elisabeth look for Charlotte and Franziska among the bodies. Since they are not there, they assume they are alive and have traveled.","Peter Doppler (J), Elisabeth Doppler (J)"
,347,Jonas,22-09-2020,FALSE,FALSE,Adult Peter and teen Elisabeth meet teen Noah. he says that he will protect Elisabeth even after Peter is killed.,"Peter Doppler (J), Elisabeth Doppler (J), Noah / Hanno Tauber (J)"
,348,Jonas,22-09-2020,FALSE,FALSE,Teen Elisabeth asks adult Peter for the notebook.,"Peter Doppler (J), Elisabeth Doppler (J)"
,349,Jonas,22-09-2020,FALSE,FALSE,Adult Claudia takes care of adult Regina.,"Claudia Tiedemann (J), Regina Tiedemann (J)"
